id,x1,y1,x2,y2,center_x,center_y,confidence,class
97,318.88,143.15,328.14,169.79,323.51,156.47,0.3701,person
98,430.83,245.76,442.72,255.96,436.77,250.86,0.3689,person
99,636.52,435.76,659.37,465.05,647.94,450.40,0.3675,person
100,294.97,45.52,321.71,132.52,308.34,89.02,0.3661,person
101,475.86,57.24,492.68,75.78,484.27,66.51,0.3651,person
102,514.43,230.49,533.03,255.88,523.73,243.18,0.3623,person
103,591.59,449.12,619.25,510.06,605.42,479.59,0.3623,person
104,186.67,130.24,208.92,183.68,197.80,156.96,0.3611,person
105,238.70,25.87,255.97,83.56,247.34,54.71,0.3609,person
106,564.76,211.80,591.76,238.10,578.26,224.95,0.3602,person
107,184.68,31.99,210.00,76.23,197.34,54.11,0.3598,person
108,833.45,451.88,867.35,509.98,850.40,480.93,0.3596,person
109,666.44,642.55,691.83,681.92,679.13,662.23,0.3586,person
110,634.92,491.56,662.28,522.01,648.60,506.78,0.3585,person
111,784.25,55.31,800.90,83.03,792.58,69.17,0.3579,person
112,738.43,227.85,761.12,255.93,749.78,241.89,0.3569,person
113,823.12,408.18,853.58,447.17,838.35,427.67,0.3553,person
114,553.93,358.79,576.07,392.43,565.00,375.61,0.3548,person
115,848.91,575.95,916.14,679.03,882.53,627.49,0.3523,person
116,651.10,254.76,663.53,270.18,657.32,262.47,0.3516,person
117,582.30,540.79,614.44,580.64,598.37,560.71,0.3498,person
118,619.12,543.97,644.71,580.41,631.91,562.19,0.3477,person
119,572.11,429.81,597.30,452.42,584.71,441.12,0.3472,person
120,785.81,42.56,798.73,60.67,792.27,51.61,0.3459,person
121,902.72,449.88,915.12,459.96,908.92,454.92,0.3448,person
122,543.55,186.50,566.43,221.16,554.99,203.83,0.3411,person
123,918.11,417.95,957.30,459.90,937.71,438.92,0.3376,person
124,630.26,71.47,649.23,121.61,639.75,96.54,0.3372,person
125,717.10,307.01,747.40,365.63,732.25,336.32,0.3367,person
126,447.27,643.39,473.87,681.92,460.57,662.66,0.3341,person
127,575.12,77.87,595.08,108.55,585.10,93.21,0.3335,person
128,586.76,170.75,625.31,224.94,606.04,197.85,0.3314,person
129,505.09,239.06,524.54,255.96,514.82,247.51,0.3306,person
130,504.06,94.20,519.88,123.07,511.97,108.64,0.3306,person
131,217.72,588.43,255.81,662.38,236.77,625.41,0.3296,person
132,238.28,429.17,266.44,459.95,252.36,444.56,0.3296,person
133,31.59,323.31,48.11,350.57,39.85,336.94,0.3290,person
134,327.64,77.07,353.98,122.88,340.81,99.98,0.3286,person
135,755.89,195.68,768.28,216.29,762.08,205.98,0.3269,person
136,231.85,658.08,244.04,663.95,237.94,661.02,0.3267,person
137,521.19,309.56,534.97,327.58,528.08,318.57,0.3265,person
138,445.85,453.66,459.32,459.95,452.59,456.80,0.3264,person
139,224.55,555.11,257.63,594.59,241.09,574.85,0.3263,person
140,821.80,649.07,849.45,681.97,835.62,665.52,0.3253,person
141,343.48,193.71,372.98,255.39,358.23,224.55,0.3249,person
142,831.06,75.77,842.29,91.00,836.68,83.38,0.3248,person
143,274.28,563.04,302.87,604.02,288.58,583.53,0.3241,person
144,448.12,351.28,467.97,384.68,458.04,367.98,0.3231,person
145,626.19,325.87,648.04,359.35,637.11,342.61,0.3225,person
146,846.67,191.50,859.25,203.84,852.96,197.67,0.3218,person
147,408.43,105.39,425.84,134.18,417.14,119.79,0.3212,person
148,85.53,208.66,127.09,272.00,106.31,240.33,0.3197,person
149,689.98,4.58,708.46,23.36,699.22,13.97,0.3194,person
150,730.57,365.06,757.92,403.08,744.24,384.07,0.3193,person
151,715.64,204.24,742.32,239.78,728.98,222.01,0.3191,person
152,390.29,63.34,407.21,123.12,398.75,93.23,0.3183,person
153,600.77,364.78,626.44,404.73,613.60,384.76,0.3183,person
154,652.53,552.17,673.91,590.77,663.22,571.47,0.3173,person
155,509.36,167.27,527.56,197.15,518.46,182.21,0.3148,person
